timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95,ch96,ch97,ch98,ch99,ch100,ch101,ch102,ch103,ch104,ch105,ch106,ch107,ch108,ch109,ch110,ch111,ch112,ch113,ch114,ch115,ch116,ch117,ch118,ch119,ch120,ch121,ch122,ch123,ch124,ch125
596453,0,0,1,5,1,2,2,6,6,7,7,5,9,13,11,11,9,3,5,4,4,1,3,3,2,0,1,1,6,4,3,3,4,2,4,5,5,5,4,3,3,5,4,3,3,0,0,0,0,0,0,3,3,4,7,5,6,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,6,19,18,0,9,21,19,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606769,2,1,1,1,1,1,3,2,10,8,15,7,7,13,10,9,9,5,1,2,4,2,3,2,3,3,2,0,3,4,7,5,4,3,4,2,3,4,6,5,6,5,3,3,2,1,0,0,0,0,1,1,0,0,4,7,5,6,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,18,16,3,5,17,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617086,0,1,1,1,1,1,2,3,4,8,6,7,6,9,9,6,7,3,4,3,6,5,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,4,5,5,3,3,3,2,0,0,0,0,0,1,3,4,5,4,3,3,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1,18,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627402,0,1,0,2,2,3,5,12,7,7,5,5,5,5,4,2,1,4,5,3,1,1,6,8,4,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,2,2,1,0,4,5,2,0,0,0,0,0,1,0,0,0,1,0,2,23,15,0,0,23,21,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637719,0,2,0,2,3,2,3,9,8,7,9,9,10,7,7,7,5,5,3,3,2,1,4,1,0,1,1,0,5,6,5,3,2,5,5,5,7,6,6,6,5,6,5,4,5,1,0,0,0,0,2,3,7,7,2,4,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,22,20,0,3,23,23,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648035,0,1,1,1,4,4,1,1,4,8,10,8,3,6,4,5,3,2,1,3,5,7,4,3,2,0,1,0,5,6,5,5,4,3,3,4,4,3,5,5,3,5,5,4,5,0,0,0,0,0,1,1,5,5,3,1,1,1,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,21,21,1,9,21,22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658352,2,0,1,2,3,3,4,7,3,3,6,5,4,5,3,3,1,0,0,1,1,1,4,2,2,0,1,0,1,0,0,0,0,1,0,0,0,2,3,3,4,4,2,5,5,0,0,0,0,0,2,1,4,4,3,3,7,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,5,21,23,0,12,22,23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668668,0,2,1,2,1,4,3,3,2,3,4,3,3,7,5,2,2,3,3,4,5,4,2,2,1,1,0,0,3,2,2,2,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,2,1,4,4,3,2,4,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,2,21,22,0,7,21,22,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678985,1,3,2,1,1,1,3,5,10,5,6,6,10,8,7,6,3,2,2,0,3,4,3,4,4,1,2,0,7,6,5,5,6,7,7,6,5,5,6,6,4,3,5,5,5,0,0,0,0,1,2,5,4,2,2,5,5,3,3,4,4,0,0,0,0,0,0,0,0,0,2,1,5,21,23,1,6,22,23,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689301,0,1,1,1,2,7,5,3,3,4,6,3,4,4,3,5,2,1,0,0,4,10,8,4,1,2,0,0,3,3,4,4,5,3,4,3,4,3,6,4,7,4,4,4,3,2,0,0,0,0,5,2,4,5,8,4,6,2,9,7,4,0,0,0,0,0,0,0,0,0,0,0,1,21,22,0,7,22,23,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
