timestamp,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35,Ch36,Ch37,Ch38,Ch39,Ch40,Ch41,Ch42,Ch43,Ch44,Ch45,Ch46,Ch47,Ch48,Ch49,Ch50,Ch51,Ch52,Ch53,Ch54,Ch55,Ch56,Ch57,Ch58,Ch59,Ch60,Ch61,Ch62,Ch63,Ch64,Ch65,Ch66,Ch67,Ch68,Ch69,Ch70,Ch71,Ch72,Ch73,Ch74,Ch75,Ch76,Ch77,Ch78,Ch79,Ch80,Ch81,Ch82,Ch83,Ch84,Ch85,Ch86,Ch87,Ch88,Ch89,Ch90,Ch91,Ch92,Ch93,Ch94,Ch95,Ch96,Ch97,Ch98,Ch99,Ch100,Ch101,Ch102,Ch103,Ch104,Ch105,Ch106,Ch107,Ch108,Ch109,Ch110,Ch111,Ch112,Ch113,Ch114,Ch115,Ch116,Ch117,Ch118,Ch119,Ch120,Ch121,Ch122,Ch123,Ch124,Ch125,Ch126
146017,0,21,28,3,10,9,8,9,11,10,8,8,8,7,9,10,12,9,10,8,5,0,0,0,0,2,1,2,0,1,1,1,1,1,3,1,2,2,2,2,3,1,1,2,2,0,0,0,1,1,1,3,3,1,0,0,0,3,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156332,0,3,3,14,13,8,11,12,11,13,14,13,11,12,9,13,12,13,10,13,14,4,0,0,0,0,1,1,1,2,0,1,2,2,2,1,2,0,1,0,0,0,0,0,0,1,1,1,2,1,2,3,4,1,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,0,0,1,1,1,1,2,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166647,0,0,4,20,22,20,17,17,18,17,16,18,13,12,11,13,12,12,11,15,14,1,0,0,1,2,1,2,0,1,0,2,2,0,1,2,2,3,1,0,3,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,3,2,1,0,1,2,1,0,2,0,1,0,0,0,1,2,2,0,3,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176962,2,1,3,8,7,8,5,6,3,2,4,6,7,6,5,6,4,7,6,7,4,0,0,0,0,4,0,0,2,3,1,0,4,3,3,0,0,1,1,1,1,1,1,1,0,1,0,0,2,4,2,2,2,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,2,1,2,1,0,0,1,1,1,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187277,0,2,2,34,46,27,26,26,27,26,31,24,25,28,24,23,28,28,26,25,14,2,1,1,2,2,0,3,1,2,1,4,5,1,2,2,1,1,2,1,1,3,2,2,3,4,3,3,3,1,1,1,1,2,2,4,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197592,0,2,5,11,44,11,12,17,14,16,13,22,16,19,17,11,11,12,12,15,8,0,0,1,2,5,2,2,1,2,4,3,1,1,2,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1,2,0,0,0,1,1,0,0,0,0,1,0,2,3,2,0,1,2,2,3,1,1,1,0,1,3,2,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207906,1,4,55,63,14,13,11,16,12,14,21,19,24,20,13,14,15,11,13,6,6,0,0,0,0,3,4,3,2,1,0,2,1,0,4,2,2,0,2,2,2,1,4,2,2,0,0,0,2,1,2,0,0,1,0,0,0,0,1,0,1,1,0,0,1,2,2,2,1,1,2,1,0,0,0,0,5,2,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218221,2,5,5,4,9,10,9,14,9,10,6,9,7,12,11,11,10,10,5,7,3,0,1,1,1,3,2,0,2,3,1,0,0,0,0,0,1,1,2,3,1,4,2,2,0,1,3,2,2,0,1,1,0,1,2,3,2,2,3,0,2,0,3,2,0,0,2,1,2,1,1,0,2,1,1,1,2,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228536,2,2,1,7,7,5,8,10,13,15,12,16,16,20,17,10,10,10,10,8,2,0,0,1,2,2,2,2,0,1,2,0,0,0,0,0,0,0,1,2,3,1,0,2,1,2,1,0,2,3,1,2,0,1,0,0,0,1,0,1,0,1,3,1,0,1,2,2,4,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238851,0,0,1,11,19,11,13,14,13,17,16,14,20,17,15,10,10,12,12,8,5,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
